id,name,name_reverse,object,subject
347,Hofrat,Hofrat [REVERSE],Person,Institution
348,Universitätsprofessor,Universitätsprofessor [REVERSE],Person,Institution
349,Dekan,Dekan [REVERSE],Person,Institution
350,Mitglied,Mitglied [REVERSE],Person,Institution
351,General,General [REVERSE],Person,Institution
352,Supplent,Supplent [REVERSE],Person,Institution
353,Minister für Kultus und Unterricht (provisorisch),Minister für Kultus und Unterricht (provisorisch) [REVERSE],Person,Institution
354,Minister für Kultus und Unterricht (interimistisch),Minister für Kultus und Unterricht (interimistisch) [REVERSE],Person,Institution
355,Minister für Kultus und Unterricht,Minister für Kultus und Unterricht [REVERSE],Person,Institution
356,"Minister für Handel, Gewerbe und öffentliche Bauten","Minister für Handel, Gewerbe und öffentliche Bauten [REVERSE]",Person,Institution
357,Minister für Landeskultur und Bergwesen,Minister für Landeskultur und Bergwesen [REVERSE],Person,Institution
358,Minister ohne Portefeuille,Minister ohne Portefeuille [REVERSE],Person,Institution
360,Stellvertreter des Zivil- und Militärgouverneurs,Stellvertreter des Zivil- und Militärgouverneurs [REVERSE],Person,Institution
361,Kriegsministerstellvertreter,Kriegsministerstellvertreter [REVERSE],Person,Institution
362,Zivil- und Militärgouverneur,Zivil- und Militärgouverneur [REVERSE],Person,Institution
364,Provisorischer General-Artilleriedirektor,Provisorischer General-Artilleriedirektor [REVERSE],Person,Institution
365,General-Artilleriedirektor,General-Artilleriedirektor [REVERSE],Person,Institution
367,Obersthofmeister des Kaisers,Obersthofmeister des Kaisers [REVERSE],Person,Institution
368,Generaladjutant des Kaisers,Generaladjutant des Kaisers [REVERSE],Person,Institution
369,provisorischer Landeschef,provisorischer Landeschef [REVERSE],Person,Institution
370,Abgeordneter,Abgeordneter [REVERSE],Person,Institution
371,Ehemaliger Hofkanzler von Siebenbürgen,Ehemaliger Hofkanzler von Siebenbürgen [REVERSE],Person,Institution
372,Ehemaliger Hofkammerpräsident,Ehemaliger Hofkammerpräsident [REVERSE],Person,Institution
373,Präsident des Reichsrates,Präsident des Reichsrates [REVERSE],Person,Institution
374,Kabinettskanzleidirektor,Kabinettskanzleidirektor [REVERSE],Person,Institution
375,Vorsitzender (Präsident) der Ministerkonferenz,Vorsitzender (Präsident) der Ministerkonferenz [REVERSE],Person,Institution
377,Kriegsminister (provisorisch),Kriegsminister (provisorisch) [REVERSE],Person,Institution
378,Zweiter Generaladjutant des Kaisers,Zweiter Generaladjutant des Kaisers [REVERSE],Person,Institution
379,Minister der Justiz,Minister der Justiz [REVERSE],Person,Institution
380,Minister der Finanzen,Minister der Finanzen [REVERSE],Person,Institution
382,Militär- und Zivilgouverneur,Militär- und Zivilgouverneur [REVERSE],Person,Institution
383,Erster Generaladjutant des Kaisers,Erster Generaladjutant des Kaisers [REVERSE],Person,Institution
385,Generalauditor,Generalauditor [REVERSE],Person,Institution
386,Vorsitzender,Vorsitzender [REVERSE],Person,Institution
387,Erster Generaladjutant,Erster Generaladjutant [REVERSE],Person,Institution
388,Zugeteilter,Zugeteilter [REVERSE],Person,Institution
389,Adlatus für Zivilangelegenheiten,Adlatus für Zivilangelegenheiten [REVERSE],Person,Institution
390,Kanzleidirektor,Kanzleidirektor [REVERSE],Person,Institution
391,Minister des kaiserlichen Hauses des Äußern,Minister des kaiserlichen Hauses des Äußern [REVERSE],Person,Institution
392,Generalgouverneur,Generalgouverneur [REVERSE],Person,Institution
393,Stellvertreter des Finanzministers,Stellvertreter des Finanzministers [REVERSE],Person,Institution
394,Erster Generaladjutant des Kaisers und der Armee und Vorstand der Militärzentralkanzlei,Erster Generaladjutant des Kaisers und der Armee und Vorstand der Militärzentralkanzlei [REVERSE],Person,Institution
395,Stellvertreter des Ersten Generaladjutanten Sr. Majestät,Stellvertreter des Ersten Generaladjutanten Sr. Majestät [REVERSE],Person,Institution
396,Ehemaliger ungarischer Hofkanzler,Ehemaliger ungarischer Hofkanzler [REVERSE],Person,Institution
397,Erster Generaladjutant des Kaisers und der Armee und Vorstand der Ministerratskanzlei,Erster Generaladjutant des Kaisers und der Armee und Vorstand der Ministerratskanzlei [REVERSE],Person,Institution
398,Stellvertreter des Banus,Stellvertreter des Banus [REVERSE],Person,Institution
399,Vorsitzender der Ministerkonferenz,Vorsitzender der Ministerkonferenz [REVERSE],Person,Institution
400,Polizeiminister,Polizeiminister [REVERSE],Person,Institution
401,provisorischer Leiter,provisorischer Leiter [REVERSE],Person,Institution
402,Stellvertretender Chef,Stellvertretender Chef [REVERSE],Person,Institution
403,Stellvertretender Leiter,Stellvertretender Leiter [REVERSE],Person,Institution
404,Ban,Ban [REVERSE],Person,Institution
405,Kommandierender General,Kommandierender General [REVERSE],Person,Institution
406,Mitglied des verstärkten Reichsrates,Mitglied des verstärkten Reichsrates [REVERSE],Person,Institution
407,Staatsminister,Staatsminister [REVERSE],Person,Institution
408,Ungarischer Hofkanzler,Ungarischer Hofkanzler [REVERSE],Person,Institution
409,provisorischer Präsident,provisorischer Präsident [REVERSE],Person,Institution
410,Präsident des kroatisch-slawonischen Hofdikasteriums,Präsident des kroatisch-slawonischen Hofdikasteriums [REVERSE],Person,Institution
411,Tavernikus,Tavernikus [REVERSE],Person,Institution
412,Judex Curiae,Judex Curiae [REVERSE],Person,Institution
413,Zweiter ungarischer Hofkanzler,Zweiter ungarischer Hofkanzler [REVERSE],Person,Institution
414,Vorsitzender (Präsident) des Ministerrates,Vorsitzender (Präsident) des Ministerrates [REVERSE],Person,Institution
415,Minister für Handel und Volkswirtschaft,Minister für Handel und Volkswirtschaft [REVERSE],Person,Institution
416,Staatsratspräsident,Staatsratspräsident [REVERSE],Person,Institution
417,Siebenbürgischer Hofkanzler,Siebenbürgischer Hofkanzler [REVERSE],Person,Institution
418,"Hofrat bei der siebenbürgischen Hofkanzlei, vom 19.09.1861 bis 07.11.1861 mit deren Leitung betraut","Hofrat bei der siebenbürgischen Hofkanzlei, vom 19.09.1861 bis 07.11.1861 mit deren Leitung betraut [REVERSE]",Person,Institution
419,Designierter Statthalter,Designierter Statthalter [REVERSE],Person,Institution
420,Bischof,Bischof [REVERSE],Person,Institution
421,Vertreter des Marineoberkommandanten im Reichsrat,Vertreter des Marineoberkommandanten im Reichsrat [REVERSE],Person,Institution
422,Leiter der siebenbürgischen Hofkanzlei,Leiter der siebenbürgischen Hofkanzlei [REVERSE],Person,Institution
423,Kroatisch-slawonischer Hofkanzler,Kroatisch-slawonischer Hofkanzler [REVERSE],Person,Institution
424,zugeteilter Referent,zugeteilter Referent [REVERSE],Person,Institution
425,Oberst,Oberst [REVERSE],Person,Institution
426,Generalkriegskommissär,Generalkriegskommissär [REVERSE],Person,Institution
427,Minister für Handel- und Volkswirtschaft,Minister für Handel- und Volkswirtschaft [REVERSE],Person,Institution
428,Leiter des Marineministeriums,Leiter des Marineministeriums [REVERSE],Person,Institution
429,Marineminister,Marineminister [REVERSE],Person,Institution
430,Ungarischer Vizehofkanzler,Ungarischer Vizehofkanzler [REVERSE],Person,Institution
431,Stellvertreter des siebenbürgischen Hofkanzlers,Stellvertreter des siebenbürgischen Hofkanzlers [REVERSE],Person,Institution
432,Kontreadmiral,Kontreadmiral [REVERSE],Person,Institution
433,Oberst des Marine-Zeugskorps,Oberst des Marine-Zeugskorps [REVERSE],Person,Institution
434,Kardinal und Fürsterzbischof,Kardinal und Fürsterzbischof [REVERSE],Person,Institution
435,Ehemaliger Leiter,Ehemaliger Leiter [REVERSE],Person,Institution
